Pera,1.22,10
Naranja,0.35,10
Naranja,0.4,10
Manzana,1.18,10
Mandarina,0.4,10
Mandarina,0.48,10
Banana,0.8,10
Kiwi,2.08,4
Limon,1.8,7
Pomelo,0.68,9
Durazno,1.65,8
Uva,2.66,3
Cereza,3.21,2
Frambuesa,4.53,1
Sandía,0.78,9
Caqui,2.87,1
Kinoto,0.58,2
Lima,3.21,2
Lima,3.5,2
Lima,3.7,2
Ciruela,3.1,9
Frutilla,1.71,3
Acelga,0.46,9
Lechuga,0.63,9
Batata,0.45,10
Papa,0.41,10
Repollo,0.23,7
Zanahoria,0.58,6
Apio,0.76,3
Durazno,1.3,8
Ajo,3.01,1
Cebolla,0.81,8
Zuccini,0.92,6
Palta,3.38,4
Coliflor,0.54,5
Alcachofa,1.2,3
Rabanito,1.5,3
Espárrago,2.5,2
Higo,5,1
Durazno,1.2,8
Champignon,6,1
Berenjena,0.74,6
Tomate,2.73,9
Morrón,5.43,6
Brócoli,1.89,4
Pepino,0.61,5
Calabaza,0.45,8
TomCherry,2.34,2
Choclo,0.75,3
Melón,1.03,4
Palta,2.21,5
