Puerto,Time,H_Zarate
Zarate,07/01/12 00:00:00,7.0799999999999996e-01
Zarate,07/01/12 00:30:00,6.7400000000000004e-01
Zarate,07/01/12 01:00:00,6.6600000000000004e-01
Zarate,07/01/12 01:30:00,6.3000000000000000e-01
Zarate,07/01/12 02:00:00,6.2000000000000000e-01
Zarate,07/01/12 02:30:00,6.1399999999999999e-01
Zarate,07/01/12 03:00:00,6.3900000000000001e-01
Zarate,07/01/12 03:30:00,6.9399999999999995e-01
Zarate,07/01/12 04:00:00,7.6400000000000001e-01
Zarate,07/01/12 04:30:00,8.2299999999999995e-01
Zarate,07/01/12 05:00:00,8.7200000000000000e-01
Zarate,07/01/12 05:30:00,8.9000000000000001e-01
Zarate,07/01/12 06:00:00,8.8700000000000001e-01
Zarate,07/01/12 06:30:00,8.6599999999999999e-01
Zarate,07/01/12 07:00:00,8.3699999999999997e-01
Zarate,07/01/12 07:30:00,8.0500000000000005e-01
Zarate,07/01/12 08:00:00,7.6900000000000002e-01
Zarate,07/01/12 08:30:00,7.3799999999999999e-01
Zarate,07/01/12 09:00:00,7.0799999999999996e-01
Zarate,07/01/12 09:30:00,6.8799999999999994e-01
Zarate,07/01/12 10:00:00,6.6100000000000003e-01
Zarate,07/01/12 10:30:00,6.3100000000000001e-01
Zarate,07/01/12 11:00:00,6.0899999999999999e-01
Zarate,07/01/12 11:30:00,5.9099999999999997e-01
Zarate,07/01/12 12:00:00,5.7899999999999996e-01
Zarate,07/01/12 12:30:00,5.5500000000000005e-01
Zarate,07/01/12 13:00:00,5.3300000000000003e-01
Zarate,07/01/12 13:30:00,5.1700000000000002e-01
Zarate,07/01/12 14:00:00,4.9500000000000000e-01
Zarate,07/01/12 14:30:00,4.8499999999999999e-01
Zarate,07/01/12 15:00:00,4.6400000000000002e-01
Zarate,07/01/12 15:30:00,4.4600000000000001e-01
Zarate,07/01/12 16:00:00,4.4700000000000001e-01
Zarate,07/01/12 16:30:00,4.5400000000000001e-01
Zarate,07/01/12 17:00:00,5.0800000000000001e-01
Zarate,07/01/12 17:30:00,5.7599999999999996e-01
Zarate,07/01/12 18:00:00,6.4100000000000001e-01
Zarate,07/01/12 18:30:00,6.9699999999999995e-01
Zarate,07/01/12 19:00:00,7.3199999999999998e-01
Zarate,07/01/12 19:30:00,7.4500000000000000e-01
Zarate,07/01/12 20:00:00,7.4900000000000000e-01
Zarate,07/01/12 20:30:00,7.3999999999999999e-01
Zarate,07/01/12 21:00:00,7.2799999999999998e-01
Zarate,07/01/12 21:30:00,7.0499999999999996e-01
Zarate,07/01/12 22:00:00,6.8600000000000005e-01
Zarate,07/01/12 22:30:00,6.3400000000000001e-01
Zarate,07/01/12 23:00:00,6.3900000000000001e-01
Zarate,07/01/12 23:30:00,6.2600000000000000e-01
Zarate,07/02/12 00:00:00,5.7999999999999996e-01
Zarate,07/02/12 00:30:00,5.6699999999999995e-01
Zarate,07/02/12 01:00:00,5.5500000000000005e-01
Zarate,07/02/12 01:30:00,5.3100000000000003e-01
Zarate,07/02/12 02:00:00,5.2500000000000002e-01
Zarate,07/02/12 02:30:00,5.0900000000000001e-01
Zarate,07/02/12 03:00:00,5.2800000000000002e-01
Zarate,07/02/12 03:30:00,5.1900000000000002e-01
Zarate,07/02/12 04:00:00,5.3000000000000003e-01
Zarate,07/02/12 04:30:00,5.9999999999999998e-01
Zarate,07/02/12 05:00:00,6.8300000000000005e-01
Zarate,07/02/12 05:30:00,7.3899999999999999e-01
Zarate,07/02/12 06:00:00,8.1899999999999995e-01
Zarate,07/02/12 06:30:00,9.1800000000000004e-01
Zarate,07/02/12 07:00:00,9.9900000000000000e-01
Zarate,07/02/12 07:30:00,1.0169999999999999e+00
Zarate,07/02/12 08:00:00,1.0509999999999999e+00
Zarate,07/02/12 08:30:00,1.0460000000000000e+00
Zarate,07/02/12 09:00:00,1.0400000000000000e+00
Zarate,07/02/12 09:30:00,1.0229999999999999e+00
Zarate,07/02/12 10:00:00,1.0040000000000000e+00
Zarate,07/02/12 10:30:00,9.7799999999999998e-01
Zarate,07/02/12 11:00:00,9.3999999999999995e-01
Zarate,07/02/12 11:30:00,8.9500000000000002e-01
Zarate,07/02/12 12:00:00,8.6099999999999999e-01
Zarate,07/02/12 12:30:00,8.3999999999999997e-01
Zarate,07/02/12 13:00:00,8.0400000000000005e-01
Zarate,07/02/12 13:30:00,7.6900000000000002e-01
Zarate,07/02/12 14:00:00,7.1599999999999997e-01
Zarate,07/02/12 14:30:00,6.9499999999999995e-01
Zarate,07/02/12 15:00:00,6.7000000000000004e-01
Zarate,07/02/12 15:30:00,6.5100000000000002e-01
Zarate,07/02/12 16:00:00,6.8700000000000006e-01
Zarate,07/02/12 16:30:00,7.4700000000000000e-01
Zarate,07/02/12 17:00:00,8.3699999999999997e-01
Zarate,07/02/12 17:30:00,9.2700000000000005e-01
Zarate,07/02/12 18:00:00,1.0169999999999999e+00
Zarate,07/02/12 18:30:00,1.0950000000000000e+00
Zarate,07/02/12 19:00:00,1.1510000000000000e+00
Zarate,07/02/12 19:30:00,1.2050000000000001e+00
Zarate,07/02/12 20:00:00,1.2390000000000001e+00
Zarate,07/02/12 20:30:00,1.2540000000000000e+00
Zarate,07/02/12 21:00:00,1.2580000000000000e+00
Zarate,07/02/12 21:30:00,1.2470000000000001e+00
Zarate,07/02/12 22:00:00,1.2250000000000001e+00
Zarate,07/02/12 22:30:00,1.2140000000000000e+00
Zarate,07/02/12 23:00:00,1.1870000000000001e+00
Zarate,07/02/12 23:30:00,1.1510000000000000e+00
Zarate,07/03/12 00:00:00,1.1010000000000000e+00
Zarate,07/03/12 00:30:00,1.0890000000000000e+00
Zarate,07/03/12 01:00:00,1.0589999999999999e+00
Zarate,07/03/12 01:30:00,1.0340000000000000e+00
Zarate,07/03/12 02:00:00,1.0140000000000000e+00
Zarate,07/03/12 02:30:00,1.0029999999999999e+00
Zarate,07/03/12 03:00:00,1.0169999999999999e+00
Zarate,07/03/12 03:30:00,1.0780000000000001e+00
Zarate,07/03/12 04:00:00,1.1940000000000000e+00
Zarate,07/03/12 04:30:00,1.3049999999999999e+00
Zarate,07/03/12 05:00:00,1.3899999999999999e+00
Zarate,07/03/12 05:30:00,1.4780000000000000e+00
Zarate,07/03/12 06:00:00,1.5120000000000000e+00
Zarate,07/03/12 06:30:00,1.5529999999999999e+00
Zarate,07/03/12 07:00:00,1.5780000000000001e+00
Zarate,07/03/12 07:30:00,1.6030000000000000e+00
Zarate,07/03/12 08:00:00,1.6150000000000000e+00
Zarate,07/03/12 08:30:00,1.6290000000000000e+00
Zarate,07/03/12 09:00:00,1.6010000000000000e+00
Zarate,07/03/12 09:30:00,1.5569999999999999e+00
Zarate,07/03/12 10:00:00,1.5029999999999999e+00
Zarate,07/03/12 10:30:00,1.4660000000000000e+00
Zarate,07/03/12 11:00:00,1.4379999999999999e+00
Zarate,07/03/12 11:30:00,1.3999999999999999e+00
Zarate,07/03/12 12:00:00,1.3550000000000000e+00
Zarate,07/03/12 12:30:00,1.3210000000000000e+00
Zarate,07/03/12 13:00:00,1.2760000000000000e+00
Zarate,07/03/12 13:30:00,1.2580000000000000e+00
Zarate,07/03/12 14:00:00,1.2120000000000000e+00
Zarate,07/03/12 14:30:00,1.1799999999999999e+00
Zarate,07/03/12 15:00:00,1.1519999999999999e+00
Zarate,07/03/12 15:30:00,1.1190000000000000e+00
Zarate,07/03/12 16:00:00,1.1080000000000001e+00
Zarate,07/03/12 16:30:00,1.0810000000000000e+00
Zarate,07/03/12 17:00:00,1.0480000000000000e+00
Zarate,07/03/12 17:30:00,1.0260000000000000e+00
Zarate,07/03/12 18:00:00,1.0040000000000000e+00
Zarate,07/03/12 18:30:00,9.8199999999999998e-01
Zarate,07/03/12 19:00:00,9.7899999999999998e-01
Zarate,07/03/12 19:30:00,9.8699999999999999e-01
Zarate,07/03/12 20:00:00,9.8799999999999999e-01
Zarate,07/03/12 20:30:00,9.7499999999999998e-01
Zarate,07/03/12 21:00:00,9.7799999999999998e-01
Zarate,07/03/12 21:30:00,9.7599999999999998e-01
Zarate,07/03/12 22:00:00,9.5999999999999996e-01
Zarate,07/03/12 22:30:00,8.9900000000000002e-01
Zarate,07/03/12 23:00:00,9.1400000000000003e-01
Zarate,07/03/12 23:30:00,8.9600000000000002e-01
Zarate,07/04/12 00:00:00,8.6499999999999999e-01
Zarate,07/04/12 00:30:00,8.3999999999999997e-01
Zarate,07/04/12 01:00:00,8.2999999999999996e-01
Zarate,07/04/12 01:30:00,8.1599999999999995e-01
Zarate,07/04/12 02:00:00,7.9000000000000004e-01
Zarate,07/04/12 02:30:00,7.6000000000000001e-01
Zarate,07/04/12 03:00:00,7.3799999999999999e-01
Zarate,07/04/12 03:30:00,7.0299999999999996e-01
Zarate,07/04/12 04:00:00,6.8000000000000005e-01
Zarate,07/04/12 04:30:00,6.6700000000000004e-01
Zarate,07/04/12 05:00:00,6.3100000000000001e-01
Zarate,07/04/12 05:30:00,6.1399999999999999e-01
Zarate,07/04/12 06:00:00,5.8499999999999996e-01
Zarate,07/04/12 06:30:00,6.0199999999999998e-01
Zarate,07/04/12 07:00:00,6.5300000000000002e-01
Zarate,07/04/12 07:30:00,7.3599999999999999e-01
Zarate,07/04/12 08:00:00,7.9800000000000004e-01
Zarate,07/04/12 08:30:00,8.5699999999999998e-01
Zarate,07/04/12 09:00:00,9.0700000000000003e-01
Zarate,07/04/12 09:30:00,9.4199999999999995e-01
Zarate,07/04/12 10:00:00,9.5099999999999996e-01
Zarate,07/04/12 10:30:00,9.5099999999999996e-01
Zarate,07/04/12 11:00:00,9.0600000000000003e-01
Zarate,07/04/12 11:30:00,8.7100000000000000e-01
Zarate,07/04/12 12:00:00,8.1699999999999995e-01
Zarate,07/04/12 12:30:00,8.1299999999999994e-01
Zarate,07/04/12 13:00:00,7.9400000000000004e-01
Zarate,07/04/12 13:30:00,7.5800000000000001e-01
Zarate,07/04/12 14:00:00,7.5300000000000000e-01
Zarate,07/04/12 14:30:00,7.2399999999999998e-01
Zarate,07/04/12 15:00:00,7.1599999999999997e-01
Zarate,07/04/12 15:30:00,6.8600000000000005e-01
Zarate,07/04/12 16:00:00,6.5200000000000002e-01
Zarate,07/04/12 16:30:00,6.5300000000000002e-01
Zarate,07/04/12 17:00:00,5.9899999999999998e-01
Zarate,07/04/12 17:30:00,5.8699999999999997e-01
Zarate,07/04/12 18:00:00,5.7099999999999995e-01
Zarate,07/04/12 18:30:00,5.6899999999999995e-01
Zarate,07/04/12 19:00:00,5.4400000000000004e-01
Zarate,07/04/12 19:30:00,5.2500000000000002e-01
Zarate,07/04/12 20:00:00,5.2500000000000002e-01
Zarate,07/04/12 20:30:00,5.4700000000000004e-01
Zarate,07/04/12 21:00:00,5.9399999999999997e-01
Zarate,07/04/12 21:30:00,6.4700000000000002e-01
Zarate,07/04/12 22:00:00,6.8000000000000005e-01
Zarate,07/04/12 22:30:00,7.0799999999999996e-01
Zarate,07/04/12 23:00:00,7.2299999999999998e-01
Zarate,07/04/12 23:30:00,7.1599999999999997e-01
Zarate,07/05/12 00:00:00,7.1299999999999997e-01
Zarate,07/05/12 00:30:00,7.0599999999999996e-01
Zarate,07/05/12 01:00:00,6.6500000000000004e-01
Zarate,07/05/12 01:30:00,6.5500000000000003e-01
Zarate,07/05/12 02:00:00,6.2700000000000000e-01
Zarate,07/05/12 02:30:00,6.1099999999999999e-01
Zarate,07/05/12 03:00:00,5.8299999999999996e-01
Zarate,07/05/12 03:30:00,5.6399999999999995e-01
Zarate,07/05/12 04:00:00,5.4400000000000004e-01
Zarate,07/05/12 04:30:00,5.2600000000000002e-01
Zarate,07/05/12 05:00:00,5.1500000000000001e-01
Zarate,07/05/12 05:30:00,4.9500000000000000e-01
Zarate,07/05/12 06:00:00,4.7299999999999998e-01
Zarate,07/05/12 06:30:00,4.3700000000000000e-01
Zarate,07/05/12 07:00:00,4.4200000000000000e-01
Zarate,07/05/12 07:30:00,4.6700000000000003e-01
Zarate,07/05/12 08:00:00,5.4400000000000004e-01
Zarate,07/05/12 08:30:00,6.2900000000000000e-01
Zarate,07/05/12 09:00:00,6.9899999999999995e-01
Zarate,07/05/12 09:30:00,7.5300000000000000e-01
Zarate,07/05/12 10:00:00,8.0600000000000005e-01
Zarate,07/05/12 10:30:00,8.2499999999999996e-01
Zarate,07/05/12 11:00:00,8.2399999999999995e-01
Zarate,07/05/12 11:30:00,8.1299999999999994e-01
Zarate,07/05/12 12:00:00,7.9000000000000004e-01
Zarate,07/05/12 12:30:00,7.5800000000000001e-01
Zarate,07/05/12 13:00:00,7.2599999999999998e-01
Zarate,07/05/12 13:30:00,7.0599999999999996e-01
Zarate,07/05/12 14:00:00,6.5800000000000003e-01
Zarate,07/05/12 14:30:00,6.3400000000000001e-01
Zarate,07/05/12 15:00:00,5.9999999999999998e-01
Zarate,07/05/12 15:30:00,5.8899999999999997e-01
Zarate,07/05/12 16:00:00,5.8499999999999996e-01
Zarate,07/05/12 16:30:00,5.6100000000000005e-01
Zarate,07/05/12 17:00:00,5.4500000000000004e-01
Zarate,07/05/12 17:30:00,5.2600000000000002e-01
Zarate,07/05/12 18:00:00,5.0700000000000001e-01
Zarate,07/05/12 18:30:00,4.8199999999999998e-01
Zarate,07/05/12 19:00:00,4.6700000000000003e-01
Zarate,07/05/12 19:30:00,4.5600000000000002e-01
Zarate,07/05/12 20:00:00,4.6800000000000003e-01
Zarate,07/05/12 20:30:00,4.9299999999999999e-01
Zarate,07/05/12 21:00:00,5.5100000000000005e-01
Zarate,07/05/12 21:30:00,6.2300000000000000e-01
Zarate,07/05/12 22:00:00,6.8400000000000005e-01
Zarate,07/05/12 22:30:00,7.3599999999999999e-01
Zarate,07/05/12 23:00:00,7.7400000000000002e-01
Zarate,07/05/12 23:30:00,7.9100000000000004e-01
Zarate,07/06/12 00:00:00,7.9100000000000004e-01
Zarate,07/06/12 00:30:00,7.5900000000000001e-01
Zarate,07/06/12 01:00:00,7.6200000000000001e-01
Zarate,07/06/12 01:30:00,7.3499999999999999e-01
Zarate,07/06/12 02:00:00,7.1799999999999997e-01
Zarate,07/06/12 02:30:00,6.9899999999999995e-01
Zarate,07/06/12 03:00:00,6.8300000000000005e-01
Zarate,07/06/12 03:30:00,6.5800000000000003e-01
Zarate,07/06/12 04:00:00,6.3100000000000001e-01
Zarate,07/06/12 04:30:00,6.2800000000000000e-01
Zarate,07/06/12 05:00:00,6.0199999999999998e-01
Zarate,07/06/12 05:30:00,5.8699999999999997e-01
Zarate,07/06/12 06:00:00,5.7099999999999995e-01
Zarate,07/06/12 06:30:00,5.6899999999999995e-01
Zarate,07/06/12 07:00:00,5.8899999999999997e-01
Zarate,07/06/12 07:30:00,6.3300000000000001e-01
Zarate,07/06/12 08:00:00,7.3999999999999999e-01
Zarate,07/06/12 08:30:00,8.6599999999999999e-01
Zarate,07/06/12 09:00:00,9.7599999999999998e-01
Zarate,07/06/12 09:30:00,1.0480000000000000e+00
Zarate,07/06/12 10:00:00,1.1180000000000001e+00
Zarate,07/06/12 10:30:00,1.1779999999999999e+00
Zarate,07/06/12 11:00:00,1.2140000000000000e+00
Zarate,07/06/12 11:30:00,1.2180000000000000e+00
Zarate,07/06/12 12:00:00,1.2250000000000001e+00
Zarate,07/06/12 12:30:00,1.2270000000000001e+00
Zarate,07/06/12 13:00:00,1.2030000000000001e+00
Zarate,07/06/12 13:30:00,1.1699999999999999e+00
Zarate,07/06/12 14:00:00,1.1140000000000001e+00
Zarate,07/06/12 14:30:00,1.0730000000000000e+00
Zarate,07/06/12 15:00:00,1.0349999999999999e+00
Zarate,07/06/12 15:30:00,1.0169999999999999e+00
Zarate,07/06/12 16:00:00,9.8699999999999999e-01
Zarate,07/06/12 16:30:00,9.5899999999999996e-01
Zarate,07/06/12 17:00:00,9.3400000000000005e-01
Zarate,07/06/12 17:30:00,8.8400000000000001e-01
Zarate,07/06/12 18:00:00,8.5699999999999998e-01
Zarate,07/06/12 18:30:00,8.1399999999999995e-01
Zarate,07/06/12 19:00:00,7.8400000000000003e-01
Zarate,07/06/12 19:30:00,7.7500000000000002e-01
Zarate,07/06/12 20:00:00,7.3899999999999999e-01
Zarate,07/06/12 20:30:00,7.3399999999999999e-01
Zarate,07/06/12 21:00:00,7.3699999999999999e-01
Zarate,07/06/12 21:30:00,7.6900000000000002e-01
Zarate,07/06/12 22:00:00,8.2199999999999995e-01
Zarate,07/06/12 22:30:00,8.8900000000000001e-01
Zarate,07/06/12 23:00:00,9.4899999999999995e-01
