longitudes,pesos
14.8,0.11
11.1,0.08
29.3,0.22
10.6,0.08
28.7,0.21
10.4,0.07
22.1,0.16
24.2,0.17
29.8,0.21
7.1,0.05
18.2,0.13
11.0,0.08
29.9,0.21
7.9,0.06
13.2,0.09
26.6,0.19
6.6,0.05
21.8,0.16
19.1,0.14
13.0,0.09
5.4,0.04
11.3,0.08
10.9,0.08
12.1,0.09
28.5,0.21
10.5,0.08
5.2,0.04
21.6,0.16
21.2,0.16
26.9,0.19
11.9,0.09
13.4,0.1
25.7,0.18
14.6,0.11
21.1,0.15
22.6,0.16
24.4,0.17
7.1,0.05
15.7,0.11
9.8,0.07
28.7,0.21
28.0,0.21
8.6,0.06
15.1,0.11
6.7,0.05
23.7,0.17
27.1,0.19
12.0,0.09
19.8,0.15
12.9,0.09
23.2,0.16
26.8,0.19
21.8,0.16
5.3,0.04
29.6,0.21
19.5,0.14
7.8,0.06
8.4,0.06
26.8,0.19
24.4,0.18
5.3,0.04
6.2,0.05
28.3,0.2
16.0,0.12
26.2,0.19
8.1,0.06
26.9,0.19
11.8,0.09
24.6,0.17
25.6,0.19
28.6,0.21
8.6,0.06
16.3,0.12
25.2,0.18
5.7,0.04
21.7,0.16
16.0,0.12
17.6,0.13
11.8,0.08
16.3,0.12
27.4,0.19
20.3,0.15
21.4,0.15
13.6,0.1
29.1,0.21
26.6,0.19
15.3,0.11
25.0,0.18
16.5,0.12
28.5,0.2
15.8,0.12
15.0,0.11
16.2,0.12
13.0,0.1
13.4,0.1
11.5,0.09
10.1,0.07
27.0,0.19
23.1,0.16
15.8,0.12
