longitud,peso
19.1,136.92
18.3,132.22
3.1,20.27
10.1,71.7
10.8,77.26
13.8,98.77
15.0,107.78
23.6,170.44
24.8,179.35
17.7,127.03
22.4,160.99
7.5,55.72
14.4,105.07
13.9,100.32
20.8,151.72
13.1,92.95
20.6,148.71
17.4,125.15
22.7,163.28
6.3,45.43
6.3,44.45
18.0,127.41
7.6,55.93
6.1,44.21
13.7,98.87
5.6,39.54
4.0,29.04
16.6,119.54
14.5,105.3
15.4,109.13
14.5,104.22
8.7,63.2
12.1,89.3
5.1,35.76
21.1,152.95
3.9,27.18
17.3,125.33
5.7,39.67
15.5,111.29
13.4,95.55
12.2,87.0
15.9,115.09
24.0,173.57
3.8,26.71
5.5,38.97
8.0,58.49
24.4,174.11
22.0,157.81
3.6,27.56
5.5,39.45
11.6,85.01
19.0,138.43
4.7,34.17
4.8,35.33
3.1,23.36
14.0,101.55
23.3,168.89
9.5,69.18
7.6,55.67
21.5,155.46
19.3,139.63
22.3,160.11
6.5,46.84
21.1,151.45
16.7,119.86
17.6,128.4
13.9,99.0
19.5,140.7
8.2,59.47
21.1,150.95
16.5,117.72
23.4,169.47
6.1,43.78
22.4,161.26
15.8,112.54
3.9,28.35
15.1,110.04
6.3,47.07
25.0,179.77
24.8,177.2
8.2,59.41
20.8,151.21
4.1,28.79
22.6,162.08
19.6,141.99
21.5,154.47
13.0,94.18
22.6,162.16
6.2,43.73
12.1,86.31
23.4,168.45
16.3,115.03
19.7,140.81
11.6,83.88
14.4,103.26
6.0,44.29
19.1,138.61
11.9,85.28
16.8,120.72
18.8,135.74
